,Name,Motion,VM_stress_98perc,VM_stress_Mean,Species,Species2,GenusLoco,Surface_area,Scaled_VM_stress_98_to_UKEN_SC026,Scaled_VM_stress_Mean,ariaDNE_bw_10
1,DUND SC-010,walk,0.070798,0.03397414,Homo,1,HomoWalk,907.02,0.066355841,0.031842462,0.0397
2,DUND SC-010,climb,0.19736,0.1208994,Homo,1,HomoClimb,907.02,0.184976819,0.113313673,0.0397
3,UKEN_SC-026,walk,0.063629,0.03182393,Homo,1,HomoWalk,967.74,0.063629,0.03182393,0.03007
4,UKEN_SC-026,climb,0.17659,0.1164582,Homo,1,HomoClimb,967.74,0.17659,0.1164582,0.03007
5,UKEN_OH2_255,walk,0.083864,0.04109961,Homo,1,HomoWalk,640.59,0.055513299,0.027205654,0.04173
6,UKEN_OH2_255,climb,0.26219,0.1616306,Homo,1,HomoClimb,640.59,0.173555182,0.106990458,0.04173
7,UKEN_OH2_035,walk,0.13326,0.05862442,Homo,1,HomoWalk,506.78,0.069784759,0.030700068,0.03896
8,UKEN_OH2_035,climb,0.33573,0.2297813,Homo,1,HomoClimb,506.78,0.175812976,0.120330427,0.03896
9,UKEN_OH2_505,walk,0.097623,0.04663359,Homo,1,HomoWalk,628.99,0.063450814,0.030309858,0.03252
10,UKEN_OH2_505,climb,0.31798,0.1807557,Homo,1,HomoClimb,628.99,0.206673528,0.117483547,0.03252
11,UKEN_OH2_622,walk,0.089748,0.0407506,Homo,1,HomoWalk,638.25,0.059191168,0.026876093,0.03376
12,UKEN_OH2_622,climb,0.22889,0.1692194,Homo,1,HomoClimb,638.25,0.150958979,0.111604648,0.03376
13,MPI_11777,walk,0.20591,0.06779462,Pan,2,PanWalk,359.63,0.076519947,0.025193729,0.04994
14,MPI_11777,climb,0.34414,0.1998167,Pan,2,PanClimb,359.63,0.12788876,0.074255564,0.04994
15,MPI_13432,walk,0.21517,0.07203268,Pan,2,PanWalk,339.32,0.075445351,0.025256917,0.05673
16,MPI_13432,climb,0.34396,0.2086141,Pan,2,PanClimb,339.32,0.120603165,0.073146647,0.05673
17,RMCA_302,walk,0.20383,0.08465743,Pan,2,PanWalk,400.32,0.084317302,0.035019801,0.05168
18,RMCA_302,climb,0.34521,0.1735269,Pan,2,PanClimb,400.32,0.142801235,0.071781975,0.05168
19,RMCA_11293,walk,0.28175,0.1008737,Pan,2,PanWalk,250.31,0.072875816,0.026091405,0.04981
20,RMCA_11293,climb,0.41513,0.2294004,Pan,2,PanClimb,250.31,0.107375111,0.059335373,0.04981
21,RMCA_22336,walk,0.21048,0.06537943,Pan,2,PanWalk,292.52,0.063622057,0.019762323,0.06848
22,RMCA_22336,climb,0.32564,0.1654025,Pan,2,PanClimb,292.52,0.098431617,0.049996424,0.06848
